Cancer_type	sub_family	log2foldchange
BLCA	HAL1b	 0.328896559697562
BLCA	L1HS	 1.42199127028399
BLCA	L1M1	 0.496118388989801
BLCA	L1M2	 0.46711682550156
BLCA	L1M2a1	 -2.28133776791395
BLCA	L1M3	 0.459812910012454
BLCA	L1M3b	 1.20943290848469
BLCA	L1M3e	 0.80705083396144
BLCA	L1M3f	 0.617269385422048
BLCA	L1M4	 0.364930825748282
BLCA	L1M4c	 1.04121218376879
BLCA	L1M6	 0.310180309971514
BLCA	L1M7	 0.328002714782981
BLCA	L1M	 -0.341850788699508
BLCA	L1MA3	 0.4688361967876
BLCA	L1MA6	 0.796550035747857
BLCA	L1MB1	 0.488007904756496
BLCA	L1MC3	 0.36520358068556
BLCA	L1MC	 0.26430700549884
BLCA	L1MDa	 0.212550628494858
BLCA	L1MDb	 0.36305800969596
BLCA	L1ME1	 0.241165193389917
BLCA	L1ME5	 0.227767407478332
BLCA	L1MEa	 -0.741455996706355
BLCA	L1MEc	 0.257018916909476
BLCA	L1P1	 0.727125242313604
BLCA	L1P2	 0.669721198956753
BLCA	L1P3	 0.453867806099192
BLCA	L1P3b	 0.7719101044498
BLCA	L1P4	 0.695760856476315
BLCA	L1P4a	 0.751030748140984
BLCA	L1PA10	 0.422931449309764
BLCA	L1PA12	 0.792237918001104
BLCA	L1PA15-16	 0.802224917186389
BLCA	L1PA15	 0.410422329298015
BLCA	L1PA2	 1.44076814649564
BLCA	L1PA3	 0.704253693600504
BLCA	L1PA5	 0.427903792449609
BLCA	L1PA7	 0.356962336804125
BLCA	L1PA8A	 0.523471445258772
BLCA	L1PB2	 0.435573057973722
BLCA	L1PB3	 0.554376588648737
BLCA	L1PB4	 0.385669504659254
BLCA	L1PB	 0.481809382066076
BLCA	L1PBa1	 0.850745553608359
BLCA	L1PBa	 0.873323566205683
BLCA	L1PBb	 1.18313185858893
BLCA	L1PREC2	 0.272953483356232
BRCA	HAL1-2a_MD	 0.40323576533676
BRCA	HAL1-3A_ME	 -0.866430857060409
BRCA	HAL1	 -0.103292824403566
BRCA	L1HS	 0.61787273260521
BRCA	L1M2a1	 -1.37338805966148
BRCA	L1M2a	 -0.559744679586919
BRCA	L1M2b	 0.451029264841391
BRCA	L1M3	 0.160434618762336
BRCA	L1M3b	 -0.360207195545134
BRCA	L1M3c	 0.355632640512458
BRCA	L1M3d	 -0.242351188444693
BRCA	L1M3de	 0.408594163506489
BRCA	L1M3e	 -0.299775241076363
BRCA	L1M3f	 -0.374701865349578
BRCA	L1M4b	 -0.177825682937682
BRCA	L1M4c	 0.197066709492284
BRCA	L1M	 -0.164490365018866
BRCA	L1MA4	 -0.225986506241754
BRCA	L1MA5A	 -0.25179988930789
BRCA	L1MA9	 -0.176404523797596
BRCA	L1MB4	 -0.128801106013747
BRCA	L1MB5	 0.188624003861281
BRCA	L1MC1	 -0.25268510063132
BRCA	L1MC4	 -0.153232738039129
BRCA	L1MC4a	 -0.493225410561468
BRCA	L1MCa	 -0.215640531868866
BRCA	L1MCb	 -0.182150663844236
BRCA	L1MD2	 -0.189164317808618
BRCA	L1MD3	 -0.205527781545916
BRCA	L1MDb	 -0.239597321508956
BRCA	L1ME3	 -0.228961781389162
BRCA	L1ME3A	 -0.228654895068927
BRCA	L1ME3B	 -0.234845060918235
BRCA	L1ME3C	 -0.16544403852186
BRCA	L1ME3E	 -0.111225649226647
BRCA	L1ME3F	 -0.488784616006147
BRCA	L1ME4a	 -0.164932539195264
BRCA	L1MEa	 -1.40249961954262
BRCA	L1MEb	 -1.11943215879239
BRCA	L1MEc	 -0.313690833959469
BRCA	L1MEe	 0.1178346781288
BRCA	L1MEf	 -1.03423020322291
BRCA	L1MEg1	 0.271954037977064
BRCA	L1MEg2	 -0.192315592565902
BRCA	L1MEg	 -0.21656867852521
BRCA	L1P1	 0.206477684266499
BRCA	L1P4b	 0.650897623170513
BRCA	L1P4e	 -0.27223419967463
BRCA	L1PA11	 -0.264320168729052
BRCA	L1PA13	 -0.198612580912836
BRCA	L1PA16	 -0.20331728148055
BRCA	L1PA17	 -0.252103783152028
BRCA	L1PA2	 0.373470220364702
BRCA	L1PA4	 0.319995093912656
BRCA	L1PA5	 0.211705719040505
BRCA	L1PA6	 0.291946824955372
BRCA	L1PA8	 -0.288996304024012
BRCA	L1PB2	 -0.206048322522715
BRCA	L1PBa1	 0.262148557567787
BRCA	L1PBa	 -0.184404385076356
CESC	L1M2a1	 -3.33330128445171
CESC	L1M3a	 -1.3044332574333
CESC	L1MA5A	 -1.10059587234684
CHOL	HAL1-3A_ME	 -4.75312520298071
CHOL	HAL1	 -0.690509357160305
CHOL	HAL1N1_MD	 -4.56561673410439
CHOL	L1HS	 1.31398370033183
CHOL	L1M1	 -1.02716166117184
CHOL	L1M2	 0.405652142319503
CHOL	L1M3a	 0.520123263155106
CHOL	L1M3b	 -1.55272121456136
CHOL	L1M3de	 -1.42220196539059
CHOL	L1M3e	 0.685080162032688
CHOL	L1M4b	 0.627322131875242
CHOL	L1MA10	 -1.47968907221701
CHOL	L1MA2	 0.607612603521107
CHOL	L1MA5A	 -0.35367579139374
CHOL	L1MB5	 -1.68482857159872
CHOL	L1MC2	 -0.629183349443045
CHOL	L1MC3	 -0.635182895323171
CHOL	L1MC4	 -0.330184731356548
CHOL	L1MC	 -0.953829962350688
CHOL	L1MD	 -1.69070124028982
CHOL	L1ME2z	 0.332699142090746
CHOL	L1ME3	 -1.326335887159
CHOL	L1ME3D	 -0.630910056132674
CHOL	L1ME3E	 0.516391302818228
CHOL	L1ME5	 0.561503416402839
CHOL	L1MEa	 1.05500248111488
CHOL	L1P3	 -0.745746638854447
CHOL	L1P4b	 2.49842740242772
CHOL	L1PA12	 0.927686560038877
CHOL	L1PA16	 -0.585989477806462
CHOL	L1PA3	 0.649050594404221
CHOL	L1PA4	 -0.98099527818277
CHOL	L1PA7	 -1.28199074975182
CHOL	L1PA8	 -1.8343317097842
CHOL	L1PB2	 -2.02616142132836
CHOL	L1PB4	 -1.18398110350899
CHOL	L1PB	 -0.834861949990164
CHOL	L1PBa1	 1.04228130862369
CHOL	L1PBb	 1.4245762714303
COAD	HAL1-2a_MD	 1.17712253783465
COAD	HAL1-3A_ME	 -1.34187666141219
COAD	L1HS	 0.665164991382174
COAD	L1M2a1	 -1.57652981291754
COAD	L1M2b	 -1.10535009817803
COAD	L1M3d	 -0.585702760950682
COAD	L1M3e	 -0.718397225242106
COAD	L1M7	 -0.313806165329711
COAD	L1MB7	 -0.993938553528942
COAD	L1MC1	 -0.367173552771845
